COMMON	SUBMITTER		contact	Hanako Mishima
			ab_name	Mishima,H.
			ab_name	Yamada,T.
			ab_name	Kim,K.-H.
			ab_name	Liu,G.Q.
			email	mishima@ddbj.nig.ac.jp
			phone	81-55-981-6853
			fax	81-55-981-6849
			institute	National Institute of Genetics
			department	DNA Data Bank of Japan
			country	Japan
			state	Shizuoka
			city	Mishima
			street	Yata 1111
			zip	411-8540
	REFERENCE		ab_name	Mishima,H.
			ab_name	Yamada,T.
			ab_name	Park,C.S.
			ab_name	Liu,G.Q.
			title	16S rRNA of Pseudomonas sp. isolated from the rice plant
			status	Unpublished
			year	2017
	DATE		hold_date	20191130
ENT01	source	1..E	strain	YCL-001
			organism	Pseudomonas sp. YCL-001
			mol_type	genomic DNA
			isolation_source	root of rice plant
			country	Japan:Okinawa
	rRNA	<1..>1475	product	16S rRNA
ENT02	source	1..E	strain	YCL-002
			organism	Pseudomonas sp. YCL-002
			mol_type	genomic DNA
			isolation_source	rice paddy
			country	Taiwan:Tainan
	rRNA	<1..>1480	product	16S rRNA
